text,label
Can this drug cause cleft palate in babies?,pregnancy_and_contraception_risks
Who invented the telephone?,unrelated
Does the sticker link to my pregnancy test results?,prescription_process_and_smart_program
Are you a replacement for my doctor?,bot_identity_and_disclaimer
What is your knowledge base?,bot_identity_and_disclaimer
Can I take pain relievers?,drug_and_supplement_interactions
The pharmacist said the sticker was expired.,prescription_process_and_smart_program
Au revoir.,goodbye
Are you a nurse?,bot_identity_and_disclaimer
Can I take cough syrup?,drug_and_supplement_interactions
I have swollen glands (lymphadenopathy).,common_side_effects_and_adverse_reactions
What is the distance between London and Paris?,unrelated
Can it cause vascular thrombotic disease?,common_side_effects_and_adverse_reactions
How do I lose weight fast?,unrelated
"Thanks for your help, goodbye.",goodbye
Should prescribers read the brochure on recognizing psychiatric disorders?,mental_health_warnings
Does it stop the pores from clogging?,indications_and_efficacy
"Hi, I'm a doctor and I have a query.",greeting
"If I only take Accutane for a few days, can it still hurt the baby?",pregnancy_and_contraception_risks
I need to read the S.M.A.R.T. Guide to Best Practices.,prescription_process_and_smart_program
Can it cause nervousness?,common_side_effects_and_adverse_reactions
Leave me alone.,goodbye
Does this work better than systemic antibiotics?,indications_and_efficacy
I feel tired and fatigued all the time.,common_side_effects_and_adverse_reactions
Can I get free contraception counseling?,pregnancy_and_contraception_risks
Stopping now.,goodbye
What happens if I miss the 7-day window?,prescription_process_and_smart_program
Should I call my prescriber right away if I feel guilty?,mental_health_warnings
Should I ask for a ride at night?,lifestyle_restrictions
Do you understand empathy?,bot_identity_and_disclaimer
Can I self-medicate with St. John's Wort for depression?,drug_and_supplement_interactions
I'm feeling very irritable.,mental_health_warnings
I'm thinking about hurting myself.,mental_health_warnings
Can I sue you if you are wrong?,bot_identity_and_disclaimer
What language is this programmed in?,bot_identity_and_disclaimer
Who painted the Mona Lisa?,unrelated
Should I avoid sexual intercourse?,lifestyle_restrictions
"I qualified on Monday, when is the last day I can pick it up?",prescription_process_and_smart_program
Does clinical improvement happen when sebum goes down?,indications_and_efficacy
Can you speak other languages?,bot_identity_and_disclaimer
Can I take ginger?,drug_and_supplement_interactions
Are you a real person?,bot_identity_and_disclaimer
"I weigh 100 kg, can I take 100 mg?",dosage_and_administration
Can you send a prescription to my pharmacy?,bot_identity_and_disclaimer
How do I change a tire on a Toyota Corolla?,unrelated
Does it cause hydrocephalus or microcephaly?,pregnancy_and_contraception_risks
"Tubal ligation is a primary method, right?",pregnancy_and_contraception_risks
Can I take insulin?,drug_and_supplement_interactions
I need to sign a consent form about birth defects.,pregnancy_and_contraception_risks
"Thanks again, bye.",goodbye
I need a recipe for chocolate chip cookies.,unrelated
"Hi, looking for the S.M.A.R.T. guide info.",greeting
"Hello, parent of a patient here.",greeting
Is anyone there?,greeting
Will I get sunburned faster?,lifestyle_restrictions
Can hearing loss persist after stopping the drug?,common_side_effects_and_adverse_reactions
Should I wear sunscreen if I go outside?,lifestyle_restrictions
"I am a male, do I still need the yellow sticker?",prescription_process_and_smart_program
What is the best way to learn a new language?,unrelated
Do you have a gender?,bot_identity_and_disclaimer
"Hi, are you a real person.",greeting
Does Accutane affect phenytoin levels?,drug_and_supplement_interactions
Who owns this data?,bot_identity_and_disclaimer
Do you have feelings?,bot_identity_and_disclaimer
"Hey, I'm just browsing for info.",greeting
I'm having thoughts of violence.,mental_health_warnings
Stop chat.,goodbye
Should I be careful with sports injuries?,lifestyle_restrictions
Are you part of the pharmaceutical company?,bot_identity_and_disclaimer
My doctor talks to me about pregnancy risks every month.,pregnancy_and_contraception_risks
Is Accutane indicated for preventing scars?,indications_and_efficacy
Done.,goodbye
Why is sharing Accutane dangerous?,lifestyle_restrictions
What is the capital of Spain?,unrelated
"My acne is hemorrhagic, will this help?",indications_and_efficacy
Good evening.,greeting
Can it cause abnormal wound healing?,common_side_effects_and_adverse_reactions
What is the S.M.A.R.T. program mentioned in the pregnancy warnings?,pregnancy_and_contraception_risks
I have severe back pain since starting the drug.,common_side_effects_and_adverse_reactions
Can I take acetaminophen?,drug_and_supplement_interactions
I have to agree to tell my prescriber if I've ever been psychotic.,mental_health_warnings
I need to learn about comprehensive patient education for contraception.,pregnancy_and_contraception_risks
Can I get pregnant 2 months after stopping?,lifestyle_restrictions
What is the hardest mineral?,unrelated
"That solves it, thanks.",goodbye
What is your success rate?,bot_identity_and_disclaimer
Why do I have to use two forms of effective contraception?,pregnancy_and_contraception_risks
"Hello, I need to look up something on the label.",greeting
I need to tell my prescriber if anyone in my family had mental illness.,mental_health_warnings
Who invented the internet?,unrelated
What is the boiling point of water?,unrelated
Are you an expert?,bot_identity_and_disclaimer
Can I take anti-inflammatories?,drug_and_supplement_interactions
Can this medication cause blurred vision?,common_side_effects_and_adverse_reactions
Can waxing cause scarring?,lifestyle_restrictions
How do I register to vote?,unrelated
"Hello, are you available?",greeting
Can you call my doctor?,bot_identity_and_disclaimer
How do I delete an Instagram account?,unrelated
Is the drug excreted in human milk?,lifestyle_restrictions
Can I use injectable contraceptives?,drug_and_supplement_interactions
I heard this drug can cause low IQ scores in children.,pregnancy_and_contraception_risks
"If I had a hysterectomy, am I considered childbearing potential?",pregnancy_and_contraception_risks
What should I do if I miss a dose?,dosage_and_administration
"I'll ask more later, bye.",goodbye
Is it safe to breastfeed a month after stopping?,lifestyle_restrictions
Who monitors this chat?,bot_identity_and_disclaimer
I agree to stop if I have suicidal thoughts.,mental_health_warnings
"Hey, help me out here.",greeting
Can the pharmacist extend the date?,prescription_process_and_smart_program
What is the capital of Switzerland?,unrelated
Are you open source?,bot_identity_and_disclaimer
Does the sticker have to be on the prescription page itself?,prescription_process_and_smart_program
"I'll read the guide, bye.",goodbye
Does it take 15 to 20 weeks to clear up?,indications_and_efficacy
Is the yellow sticker proof of counseling?,prescription_process_and_smart_program
I must use two forms of birth control every time I have sex.,pregnancy_and_contraception_risks
Can I get a partial fill now and the rest later?,prescription_process_and_smart_program
Are you smarter than a doctor?,bot_identity_and_disclaimer
Do I need to return to the prescriber monthly?,dosage_and_administration
I agree to stop if I lose interest in things I enjoyed.,mental_health_warnings
Is it normal to have nosebleeds while taking this?,common_side_effects_and_adverse_reactions
How old are you?,bot_identity_and_disclaimer
Are there reports of suicidal ideation with this drug?,mental_health_warnings
Can I get the prescription mailed to me?,prescription_process_and_smart_program
Can I just use one form of birth control if I promise to be careful?,pregnancy_and_contraception_risks
How do I make a pumpkin pie?,unrelated
Does the prescriber checklist have to be done before the sticker is issued?,prescription_process_and_smart_program
Should I split the daily total into two doses?,dosage_and_administration
Is it safe to take a multivitamin that contains vitamin A?,drug_and_supplement_interactions
Will it help with oily hair too?,indications_and_efficacy
Will this help if I have 'many' nodules?,indications_and_efficacy
Are you always right?,bot_identity_and_disclaimer
Can I breastfeed while on this medication?,lifestyle_restrictions
"Hey, is this the help line?",greeting
Can it cause excess hair growth (hirsutism)?,common_side_effects_and_adverse_reactions
Good day.,greeting
Should I be careful taking systemic corticosteroids with Accutane?,dosage_and_administration
Can I take aspirin?,drug_and_supplement_interactions
Are telephone prescriptions allowed for Accutane?,prescription_process_and_smart_program
How do I take a screenshot on a Mac?,unrelated
I felt faint (syncope).,common_side_effects_and_adverse_reactions
Can I take vitamin D supplements?,drug_and_supplement_interactions
Should I avoid tetracyclines while taking this dosage?,dosage_and_administration
What if I have trouble swallowing the capsule?,dosage_and_administration
Can I have cosmetic surgery?,lifestyle_restrictions
Can I use wax strips on my face?,lifestyle_restrictions
There are no refills allowed on the prescription?,dosage_and_administration
Can I use a computerized prescription sent directly to the pharmacy?,prescription_process_and_smart_program
I have thoughts about hurting myself.,mental_health_warnings
How do I train for a marathon?,unrelated
My skin seems more fragile than usual.,common_side_effects_and_adverse_reactions
Why should I avoid vitamin A?,drug_and_supplement_interactions
I agree to stop if I can't concentrate.,mental_health_warnings
Can the baby die because of these abnormalities?,pregnancy_and_contraception_risks
Can I sit by a window?,lifestyle_restrictions
Why do I have to wait 8 weeks between courses?,dosage_and_administration
Is the yellow sticker used for inventory control?,prescription_process_and_smart_program
Is it indicated for severe cystic acne?,indications_and_efficacy
I should tell my prescriber if I take medicines for mental problems.,mental_health_warnings
Can I crush the capsule?,dosage_and_administration
Can the pharmacist dispense it without the sticker if they know me?,prescription_process_and_smart_program
I need to tell my doctor if I take medicine for mental problems.,mental_health_warnings
Will it stop the bleeding from my acne?,indications_and_efficacy
Is the 7-day limit for both males and females?,prescription_process_and_smart_program
Can I stop early if my nodule count drops by 70%?,dosage_and_administration
Is the risk of side effects worth it for severe acne?,indications_and_efficacy
Is it true that many patients don't need a second course?,indications_and_efficacy
My doctor mentioned a 'Yellow Self-Adhesive Accutane Qualification Sticker.',prescription_process_and_smart_program
Does Accutane cause ear abnormalities like small or absent ears?,pregnancy_and_contraception_risks
"Hello, I need the medication guide.",greeting
"Hi, I'm writing on behalf of my daughter.",greeting
"Hi, I'm ready to ask my questions.",greeting
"Hello, I need the patient agreement.",greeting
"Hello, drug info needed.",greeting
"I've tried antibiotics and they didn't work, is this next?",indications_and_efficacy
Did my prescriber sign the S.M.A.R.T. Letter of Understanding?,prescription_process_and_smart_program
What is the capital of Finland?,unrelated
Is hair loss a common side effect?,common_side_effects_and_adverse_reactions
Who is the fastest runner in history?,unrelated
Who invented the airplane?,unrelated
Did the drug cause these behaviors or would they have happened anyway?,mental_health_warnings
I agree to stop if I become aggressive.,mental_health_warnings
Is an 8-week break required before retreatment?,dosage_and_administration
What happens if I overdose on Accutane?,dosage_and_administration
"I weigh 40 kg, what is my total daily dose?",dosage_and_administration
Can taking this lead to premature births?,pregnancy_and_contraception_risks
I have pyogenic granuloma.,common_side_effects_and_adverse_reactions
Can I take weight loss pills?,drug_and_supplement_interactions
How do I make sourdough bread?,unrelated
I heard night driving might be dangerous.,lifestyle_restrictions
Can I take other acne medications?,drug_and_supplement_interactions
What is your training data?,bot_identity_and_disclaimer
How do I clean a cast iron skillet?,unrelated
Does a single course result in prolonged remission?,indications_and_efficacy
Can I take thyroid medication?,drug_and_supplement_interactions
I'm eating much less than usual.,mental_health_warnings
Can I get laser hair removal?,lifestyle_restrictions
Should I stay indoors?,lifestyle_restrictions
"Hi, let's chat.",greeting
"Good afternoon, bot.",greeting
Can the sticker expire?,prescription_process_and_smart_program
Does 'systemic' mean it affects the whole body?,indications_and_efficacy
Can it cause tendonitis?,common_side_effects_and_adverse_reactions
What are the internal abnormalities associated with this drug?,pregnancy_and_contraception_risks
Is it normal to have voice alterations?,common_side_effects_and_adverse_reactions
What is the sensitivity requirement for the pregnancy test?,pregnancy_and_contraception_risks
Are you ChatGPT?,bot_identity_and_disclaimer
Can I take flaxseed oil?,drug_and_supplement_interactions
Do I have to use spermicide with condoms?,pregnancy_and_contraception_risks
How does it compare to 13-cis-retinoic acid?,indications_and_efficacy
How much liquid should I drink with the capsule?,dosage_and_administration
Is the risk of pregnancy higher if I only use one method?,pregnancy_and_contraception_risks
How do I connect my bluetooth headphones?,unrelated
Why is the system called System to Manage Accutane Related Teratogenicity?,prescription_process_and_smart_program
Does this medication cause psychosis?,mental_health_warnings
Are you safe to use?,bot_identity_and_disclaimer
How do I make a margarita?,unrelated
"Thanks, bye.",goodbye
I need to avoid getting pregnant because of the high risk of defects.,pregnancy_and_contraception_risks
What is the best camera for photography?,unrelated
Good afternoon.,greeting
Can I use lotion?,lifestyle_restrictions
Can I watch TV in the dark?,lifestyle_restrictions
Do I take it 2 times a day unless told otherwise?,dosage_and_administration
"Hello, I have a concern.",greeting
Why should this be reserved for patients unresponsive to other therapies?,indications_and_efficacy
Who starred in the movie Titanic?,unrelated
Why isn't one method of birth control enough?,pregnancy_and_contraception_risks
Is the decrease in sebum related to the dose I take?,indications_and_efficacy
Are you a verified source?,bot_identity_and_disclaimer
"Thanks for clarifying, goodbye.",goodbye
Who won the Super Bowl last year?,unrelated
Ciao.,goodbye
Are nodules the same as regular pimples?,indications_and_efficacy
Have a good day.,goodbye
What is the deadliest animal?,unrelated
Can I take allergy medication?,drug_and_supplement_interactions
"My doctor said this is for 'cystic' acne, is that the same as nodular?",indications_and_efficacy
Can I take vitamin E supplements?,drug_and_supplement_interactions
I feel depressed and anxious.,common_side_effects_and_adverse_reactions
Are you available 24/7?,bot_identity_and_disclaimer
Does taking tetracyclines increase the risk of pseudotumor cerebri?,drug_and_supplement_interactions
"I'm all set, bye.",goodbye
I need to tell my doctor if I take antidepressants.,mental_health_warnings
Can I get an emergency supply without the sticker?,prescription_process_and_smart_program
Should I avoid alcohol if my triglycerides are high?,lifestyle_restrictions
Does the booklet explain contraceptive failure rates?,pregnancy_and_contraception_risks
Can you feel pain?,bot_identity_and_disclaimer
I heard taking it with a high-fat meal helps absorption.,dosage_and_administration
It says it is indicated only for females who are not pregnant.,indications_and_efficacy
Who discovered America?,unrelated
Is it common for teenagers to get back pain on Accutane?,common_side_effects_and_adverse_reactions
Can I take sleeping aids?,drug_and_supplement_interactions
Is it better to take it twice a day?,dosage_and_administration
"I'm good, thanks.",goodbye
How do I change my Facebook password?,unrelated
I have feelings of inappropriate guilt.,mental_health_warnings
I heard women on the pill have still gotten pregnant on Accutane.,pregnancy_and_contraception_risks
Who pays for the pregnancy prevention counseling?,pregnancy_and_contraception_risks
What is the capital of South Korea?,unrelated
Hi there.,greeting
I can't focus at work.,mental_health_warnings
Are you a diagnostic tool?,bot_identity_and_disclaimer
Can I take vitamin A supplements while on this dosage?,dosage_and_administration
Have a nice evening.,goodbye
What happens if I get pregnant during treatment?,pregnancy_and_contraception_risks
How do I fix a leaking faucet?,unrelated
"Hi, are you the Accutane assistant.",greeting
I feel drowsy and lethargic.,common_side_effects_and_adverse_reactions
What is rhabdomyolysis?,common_side_effects_and_adverse_reactions
How do I block a number on my iPhone?,unrelated
Should I chew the capsule?,dosage_and_administration
What version of the software is this?,bot_identity_and_disclaimer
How do I fix a running toilet?,unrelated
"Hi, resuming our chat.",greeting
Can I use the mini-pill while on Accutane?,pregnancy_and_contraception_risks
Why shouldn't I wax my skin while on Accutane?,lifestyle_restrictions
What is the best pizza place in town?,unrelated
Will absorption decrease significantly without food?,dosage_and_administration
Who trained you?,bot_identity_and_disclaimer
Can I use a photocopy of the sticker?,prescription_process_and_smart_program
"Hello, can you answer medical questions.",greeting
Are you unbiased?,bot_identity_and_disclaimer
Why can't I donate blood for 30 days?,lifestyle_restrictions
Greetings and salutations.,greeting
How do I get a refund from Steam?,unrelated
"If swallowing is painful, should I call my doctor?",dosage_and_administration
"Goodbye, bot.",goodbye
What is the capital of Canada?,unrelated
How do I make a smoothie?,unrelated
How do I plant a tomato garden?,unrelated
I'm irritable and angry lately.,mental_health_warnings
Should I store the pills at room temperature?,dosage_and_administration
"Hey, anyone home?",greeting
"Good evening, support team.",greeting
Is it possible to have an allergic reaction?,common_side_effects_and_adverse_reactions
"Hi, let's get started.",greeting
What happens to my data?,bot_identity_and_disclaimer
How do I learn to play the guitar?,unrelated
How long is a single course of therapy?,dosage_and_administration
I feel like a bad person for no reason.,mental_health_warnings
How many continents are there?,unrelated
Can I trust your advice?,bot_identity_and_disclaimer
"Excellent, thanks, bye.",goodbye
How do I get to the nearest gas station?,unrelated
Bye.,goodbye
Who is the CEO of Tesla?,unrelated
I have protein in my urine.,common_side_effects_and_adverse_reactions
Can the dose go up to 2.0 mg/kg/day?,dosage_and_administration
Is Pluto considered a planet?,unrelated
I need to do monthly pregnancy avoidance counseling.,pregnancy_and_contraception_risks
Some patients developed serious mental problems shortly after stopping.,mental_health_warnings
Can I take hormone replacement therapy?,drug_and_supplement_interactions
Is there an interactive effect on bone loss with corticosteroids?,drug_and_supplement_interactions
How do I apply for a mortgage?,unrelated
How do I renew my passport?,unrelated
Should I stop driving if I can't see?,lifestyle_restrictions
I'm urinating frequently.,common_side_effects_and_adverse_reactions
Can my doctor call in the prescription over the phone?,dosage_and_administration
Is skin resurfacing safe while on the drug?,lifestyle_restrictions
How recent does the prescription need to be?,dosage_and_administration
I've been feeling sad since starting Accutane.,mental_health_warnings
Can I take this if I am on anticonvulsants?,dosage_and_administration
How do I make a paper airplane?,unrelated
Have there been documented cases of human fetal abnormalities?,pregnancy_and_contraception_risks
Will this help with my oily skin?,indications_and_efficacy
What is the main ingredient in hummus?,unrelated
Can I have unprotected sex?,lifestyle_restrictions
I have trouble swallowing.,common_side_effects_and_adverse_reactions
What is the difference between a crocodile and an alligator?,unrelated
What is your privacy policy?,bot_identity_and_disclaimer
I have stomach pain and diarrhea.,common_side_effects_and_adverse_reactions
Does it inhibit sebaceous gland differentiation?,indications_and_efficacy
"Hi, please help me.",greeting
Can I take vitamin supplements with Vitamin A?,lifestyle_restrictions
Is it safe to take doxycycline?,drug_and_supplement_interactions
"Alright, bye.",goodbye
Should I avoid heavy machinery?,lifestyle_restrictions
Can I take this for mild pimples if I want them gone fast?,indications_and_efficacy
How do I get a stain out of a white shirt?,unrelated
"I want to die, should I stop the pill?",mental_health_warnings
Later.,goodbye
Can I get the drug if I don't use contraception?,pregnancy_and_contraception_risks
Can this drug affect my liver enzymes?,common_side_effects_and_adverse_reactions
Does it work for everyone?,indications_and_efficacy
How do I write a check?,unrelated
Do I have to use birth control for a month before starting?,pregnancy_and_contraception_risks
Should I use combined oral contraceptives instead of minipills?,drug_and_supplement_interactions
"Got it, thanks, bye.",goodbye
Is this part of the Accutane Pregnancy Prevention Program?,prescription_process_and_smart_program
My weight has changed since starting Accutane.,mental_health_warnings
What if my doctor runs out of yellow stickers?,prescription_process_and_smart_program
How far is the moon from the earth?,unrelated
Do you have access to my webcam?,bot_identity_and_disclaimer
Can I take laxatives?,drug_and_supplement_interactions
Can Accutane interact with hormonal contraceptives?,drug_and_supplement_interactions
"Hello, chatbot.",greeting
Can it cause skin infections?,common_side_effects_and_adverse_reactions
Can Accutane cause headaches?,common_side_effects_and_adverse_reactions
My heart is racing (tachycardia).,common_side_effects_and_adverse_reactions
Can it cause cataracts?,common_side_effects_and_adverse_reactions
How do I get rid of fruit flies?,unrelated
Do I need blood tests during my monthly visits?,dosage_and_administration
Is sweating a side effect?,common_side_effects_and_adverse_reactions
Is neutropenia a side effect?,common_side_effects_and_adverse_reactions
What are the available strengths of Accutane capsules?,dosage_and_administration
How do you know this information?,bot_identity_and_disclaimer
Does the sticker have a serial number?,prescription_process_and_smart_program
Do I have to be reliable in following instructions to take this?,pregnancy_and_contraception_risks
Can you translate 'hello' into Spanish?,unrelated
Can my doctor call the pharmacy to authorize the refill?,prescription_process_and_smart_program
Do I need pregnancy prevention counseling before starting?,pregnancy_and_contraception_risks
I agree to tell my prescriber if my family has a history of suicide.,mental_health_warnings
Who was the first person on the moon?,unrelated
Will my pores get smaller?,indications_and_efficacy
Is rectal bleeding a side effect I should worry about?,common_side_effects_and_adverse_reactions
What is the recommended dosage range for Accutane?,dosage_and_administration
Cheerio.,goodbye
"Hello, begin session.",greeting
How do I stop my cat from scratching the furniture?,unrelated
What if I am postmenopausal?,pregnancy_and_contraception_risks
How do I bake a potato in the microwave?,unrelated
Does it shrink the oil glands?,indications_and_efficacy
Is the dose 0.5 mg/kg per day?,dosage_and_administration
